id_municipio,nome_municipio,sigla_uf,nome_regiao,n_alunos_2024,presenca_2024,taxa_presentes_2024,taxa_alf_2024,risco_previsto_2024,idhm,ivs,cluster,alerta_participacao
2504900,Cruz do Espírito Santo,PB,Nordeste,131.0,0.878,0.478,0.42,0.556,0.552,0.518,0,False
1709302,Guaraí,TO,Norte,251.0,0.833,0.478,0.398,0.564,0.741,0.253,1,False
2207603,Parnaguá,PI,Nordeste,124.0,0.944,0.479,0.452,0.452,0.575,0.536,0,False
2109304,Presidente Vargas,MA,Nordeste,109.0,0.862,0.479,0.413,0.406,0.587,0.658,0,False
4311759,Manoel Viana,RS,Sul,57.0,0.842,0.479,0.404,0.47,0.655,0.305,1,False
1301605,Fonte Boa,AM,Norte,333.0,0.727,0.479,0.348,0.642,0.53,0.726,0,True
2413607,Severiano Melo,RN,Nordeste,79.0,0.924,0.479,0.443,0.622,0.604,0.418,0,False
3527207,Lorena,SP,Sudeste,731.0,0.899,0.479,0.431,0.463,0.766,0.187,1,False
2203271,Curral Novo do Piauí,PI,Nordeste,74.0,0.986,0.479,0.473,0.474,0.527,0.49,0,False
2922003,Mucuri,BA,Nordeste,420.0,0.933,0.48,0.448,0.663,0.665,0.415,1,False
2905008,Caculé,BA,Nordeste,213.0,0.92,0.48,0.441,0.607,0.637,0.336,1,False
3138104,Lassance,MG,Sudeste,50.0,1.0,0.48,0.48,0.423,0.629,0.476,0,False
2502102,Boa Ventura,PB,Nordeste,52.0,0.962,0.48,0.462,0.441,0.599,0.4,0,False
2208601,Prata do Piauí,PI,Nordeste,51.0,0.98,0.48,0.471,0.416,0.565,0.521,0,False
4320008,Sapucaia do Sul,RS,Sul,1541.0,0.901,0.48,0.433,0.601,0.726,0.265,1,False
3534203,Orindiúva,SP,Sudeste,82.0,0.939,0.481,0.451,0.353,0.767,0.131,1,False
3515152,Engenheiro Coelho,SP,Sudeste,214.0,0.846,0.481,0.407,0.443,0.732,0.208,1,False
4306601,Dom Pedrito,RS,Sul,376.0,0.83,0.481,0.399,0.558,0.708,0.243,1,False
1500859,Anapu,PA,Norte,411.0,0.774,0.481,0.372,0.672,0.548,0.626,0,True
2104602,Governador Eugênio Barros,MA,Nordeste,122.0,0.869,0.481,0.418,0.479,0.572,0.61,0,False
3530607,Mogi das Cruzes,SP,Sudeste,4768.0,0.897,0.481,0.432,0.534,0.783,0.275,1,False
5005152,Juti,MS,Centro-Oeste,181.0,0.884,0.481,0.425,0.445,0.623,0.404,1,False
2513158,Santa Cecília,PB,Nordeste,59.0,0.915,0.481,0.441,0.46,0.525,0.53,0,False
4210803,Meleiro,SC,Sul,100.0,0.83,0.482,0.4,0.457,0.738,0.16,1,False
2413508,Serrinha,RN,Nordeste,69.0,0.812,0.482,0.391,0.628,0.592,0.482,0,False
3524006,Itupeva,SP,Sudeste,781.0,0.828,0.482,0.399,0.436,0.762,0.179,1,False
3304805,São Fidélis,RJ,Sudeste,403.0,0.839,0.482,0.404,0.479,0.691,0.225,1,False
4311403,Lajeado,RS,Sul,845.0,0.869,0.482,0.419,0.503,0.778,0.138,1,False
4200705,Alfredo Wagner,SC,Sul,151.0,0.755,0.482,0.364,0.529,0.668,0.35,1,True
1504455,Medicilândia,PA,Norte,391.0,0.747,0.483,0.361,0.584,0.582,0.511,0,True
2202505,Caracol,PI,Nordeste,132.0,0.894,0.483,0.432,0.432,0.552,0.556,0,False
2400307,Afonso Bezerra,RN,Nordeste,86.0,0.698,0.483,0.337,0.628,0.585,0.446,0,True
2514909,São Mamede,PB,Nordeste,67.0,0.896,0.483,0.433,0.449,0.641,0.351,0,False
3516408,Franco da Rocha,SP,Sudeste,1996.0,0.898,0.484,0.434,0.535,0.731,0.344,1,False
4111803,Jacarezinho,PR,Sul,436.0,0.782,0.484,0.378,0.333,0.743,0.258,1,True
3522109,Itanhaém,SP,Sudeste,1543.0,0.837,0.484,0.405,0.538,0.745,0.243,1,False
2408201,Nísia Floresta,RN,Nordeste,359.0,0.799,0.484,0.387,0.733,0.622,0.42,0,True
3302304,Laje do Muriaé,RJ,Sudeste,77.0,0.831,0.484,0.403,0.433,0.668,0.297,1,False
1505551,Pau D'Arco,PA,Norte,74.0,0.865,0.484,0.419,0.555,0.574,0.554,0,False
2507002,Itaporanga,PB,Nordeste,174.0,0.937,0.485,0.454,0.517,0.615,0.369,0,False
3556206,Valinhos,SP,Sudeste,907.0,0.914,0.485,0.443,0.409,0.819,0.144,1,False
4321501,Torres,RS,Sul,526.0,0.835,0.485,0.405,0.515,0.762,0.17,1,False
4302808,Caçapava do Sul,RS,Sul,334.0,0.826,0.486,0.401,0.551,0.704,0.252,1,False
4211900,Palhoça,SC,Sul,3145.0,0.571,0.486,0.277,0.6,0.757,0.219,1,True
1200450,Senador Guiomard,AC,Norte,346.0,0.809,0.486,0.393,0.541,0.64,0.431,0,False
5002100,Bela Vista,MS,Centro-Oeste,368.0,0.872,0.486,0.424,0.55,0.698,0.377,1,False
2403509,Espírito Santo,RN,Nordeste,89.0,0.809,0.486,0.393,0.697,0.558,0.552,0,False
3104502,Arinos,MG,Sudeste,204.0,0.897,0.486,0.436,0.364,0.656,0.369,0,False
1500347,Água Azul do Norte,PA,Norte,230.0,0.804,0.486,0.391,0.611,0.564,0.452,0,False
2509909,Natuba,PB,Nordeste,80.0,0.925,0.486,0.45,0.463,0.541,0.606,0,False
1706001,Couto Magalhães,TO,Norte,90.0,0.822,0.486,0.4,0.593,0.605,0.49,0,False
2700102,Água Branca,AL,Nordeste,156.0,0.962,0.487,0.468,0.59,0.549,0.568,0,False
4305207,Cerro Largo,RS,Sul,122.0,0.926,0.487,0.451,0.482,0.764,0.186,1,False
3551009,São Vicente,SP,Sudeste,3426.0,0.89,0.487,0.433,0.55,0.768,0.265,1,False
2109452,Raposa,MA,Nordeste,491.0,0.878,0.487,0.428,0.531,0.626,0.642,0,False
3300308,Barra do Piraí,RJ,Sudeste,918.0,0.776,0.487,0.378,0.536,0.733,0.249,1,True
5008008,Terenos,MS,Centro-Oeste,290.0,0.955,0.487,0.466,0.483,0.658,0.318,1,False
1508084,Tucumã,PA,Norte,569.0,0.821,0.488,0.401,0.544,0.659,0.397,1,False
2705101,Matriz de Camaragibe,AL,Nordeste,261.0,0.981,0.488,0.479,0.585,0.584,0.577,0,False
1200104,Brasiléia,AC,Norte,473.0,0.814,0.488,0.397,0.632,0.614,0.462,0,False
3518701,Guarujá,SP,Sudeste,3477.0,0.869,0.489,0.425,0.519,0.751,0.272,1,False
3303807,Paraty,RJ,Sudeste,556.0,0.746,0.489,0.365,0.528,0.693,0.262,1,True
2922409,Mutuípe,BA,Nordeste,146.0,0.952,0.489,0.466,0.599,0.601,0.402,0,False
4310603,Itaqui,RS,Sul,440.0,0.743,0.489,0.364,0.562,0.713,0.231,1,True
2511202,Pedras de Fogo,PB,Nordeste,402.0,0.935,0.489,0.458,0.496,0.59,0.442,0,False
2923605,Paramirim,BA,Nordeste,151.0,0.934,0.489,0.457,0.649,0.615,0.344,0,False
5005681,Mundo Novo,MS,Centro-Oeste,261.0,0.916,0.49,0.448,0.443,0.686,0.28,1,False
2904001,Boninal,BA,Nordeste,98.0,0.98,0.49,0.48,0.663,0.612,0.442,0,False
5100359,Alto Boa Vista,MT,Centro-Oeste,103.0,0.932,0.49,0.456,0.423,0.651,0.367,1,False
2922755,Nova Ibiá,BA,Nordeste,53.0,0.925,0.49,0.453,0.606,0.57,0.423,0,False
3104809,Augusto de Lima,MG,Sudeste,50.0,0.98,0.49,0.48,0.343,0.656,0.343,1,False
4302105,Bento Gonçalves,RS,Sul,1211.0,0.855,0.49,0.419,0.523,0.778,0.151,1,False
5107800,Santo Antônio do Leverger,MT,Centro-Oeste,187.0,0.818,0.49,0.401,0.388,0.656,0.368,0,False
4311718,Maçambará,RS,Sul,66.0,0.773,0.49,0.379,0.439,0.684,0.3,1,True
3500550,Águas de Santa Bárbara,SP,Sudeste,110.0,0.945,0.49,0.464,0.343,0.757,0.143,1,False
4215455,Sangão,SC,Sul,224.0,0.701,0.49,0.344,0.515,0.7,0.214,1,True
2602605,Brejo da Madre de Deus,PE,Nordeste,436.0,0.963,0.49,0.472,0.44,0.562,0.469,0,False
3509601,Campo Limpo Paulista,SP,Sudeste,980.0,0.863,0.491,0.423,0.456,0.769,0.292,1,False
3509957,Canas,SP,Sudeste,64.0,0.828,0.491,0.406,0.455,0.704,0.298,1,False
4309902,Ibiraiaras,RS,Sul,58.0,0.914,0.491,0.448,0.487,0.724,0.354,1,False
3546009,Santa Branca,SP,Sudeste,128.0,0.828,0.491,0.406,0.401,0.735,0.264,1,False
2504801,Coremas,PB,Nordeste,114.0,0.93,0.491,0.456,0.485,0.592,0.442,0,False
2707206,Poço das Trincheiras,AL,Nordeste,165.0,0.988,0.491,0.485,0.519,0.526,0.59,0,False
3305307,São Sebastião do Alto,RJ,Sudeste,68.0,0.868,0.492,0.426,0.462,0.646,0.268,1,False
2508802,Malta,PB,Nordeste,64.0,0.922,0.492,0.453,0.415,0.642,0.372,0,False
2504009,Campina Grande,PB,Nordeste,3201.0,0.855,0.492,0.42,0.551,0.72,0.28,1,False
3534401,Osasco,SP,Sudeste,7799.0,0.855,0.492,0.42,0.541,0.776,0.32,1,False
2501575,Barra de Santana,PB,Nordeste,64.0,0.953,0.492,0.469,0.429,0.567,0.5,0,False
4312450,Morro Redondo,RS,Sul,73.0,0.836,0.492,0.411,0.399,0.702,0.252,1,False
4203501,Campo Erê,SC,Sul,141.0,0.865,0.492,0.426,0.513,0.69,0.374,1,False
2207959,Nova Santa Rita,PI,Nordeste,64.0,0.984,0.492,0.484,0.421,0.554,0.378,0,False
3120151,Crisólita,MG,Sudeste,70.0,0.9,0.492,0.443,0.384,0.585,0.506,0,False
2412906,São Tomé,RN,Nordeste,77.0,0.818,0.492,0.403,0.65,0.585,0.455,0,False
1703701,Brejinho de Nazaré,TO,Norte,66.0,0.955,0.492,0.47,0.561,0.686,0.383,1,False
1504000,Limoeiro do Ajuru,PA,Norte,303.0,0.845,0.492,0.416,0.662,0.541,0.569,0,False
1508407,Xinguara,PA,Norte,716.0,0.837,0.492,0.412,0.584,0.646,0.381,1,False
4316808,Santa Cruz do Sul,RS,Sul,1195.0,0.864,0.493,0.426,0.491,0.773,0.164,1,False
3506805,Bocaina,SP,Sudeste,80.0,0.862,0.493,0.425,0.359,0.742,0.15,1,False
1303502,Pauini,AM,Norte,234.0,0.885,0.493,0.436,0.597,0.496,0.712,0,False
2512705,Remígio,PB,Nordeste,155.0,0.916,0.493,0.452,0.496,0.607,0.42,0,False
1301308,Codajás,AM,Norte,328.0,0.878,0.493,0.433,0.585,0.563,0.557,0,False
2502151,Boa Vista,PB,Nordeste,80.0,0.912,0.493,0.45,0.424,0.649,0.357,0,False
3552809,Taboão da Serra,SP,Sudeste,2848.0,0.866,0.493,0.427,0.545,0.769,0.306,1,False
3149150,Pedras de Maria da Cruz,MG,Sudeste,87.0,0.862,0.493,0.425,0.376,0.614,0.437,0,False
2404309,Governador Dix-Sept Rosado,RN,Nordeste,90.0,0.856,0.494,0.422,0.626,0.592,0.443,0,False
2102606,Cândido Mendes,MA,Nordeste,237.0,0.975,0.494,0.481,0.502,0.561,0.698,0,False
3528403,Mairinque,SP,Sudeste,561.0,0.831,0.494,0.41,0.475,0.743,0.245,1,False
3513009,Cotia,SP,Sudeste,3351.0,0.865,0.494,0.428,0.529,0.78,0.287,1,False
1502301,Capitão Poço,PA,Norte,527.0,0.882,0.495,0.436,0.616,0.548,0.529,0,False
2102150,Brejo de Areia,MA,Nordeste,99.0,0.939,0.495,0.465,0.407,0.519,0.688,0,False
4201307,Araquari,SC,Sul,960.0,0.585,0.495,0.29,0.592,0.703,0.306,1,True
3544905,Sales Oliveira,SP,Sudeste,110.0,0.864,0.495,0.427,0.328,0.772,0.186,1,False
3515004,Embu das Artes,SP,Sudeste,3359.0,0.862,0.495,0.427,0.51,0.735,0.339,1,False
3519600,Ibitinga,SP,Sudeste,570.0,0.896,0.495,0.444,0.465,0.747,0.179,1,False
4305801,Constantina,RS,Sul,125.0,0.84,0.495,0.416,0.432,0.754,0.283,1,False
1504950,Nova Esperança do Piriá,PA,Norte,250.0,0.872,0.495,0.432,0.677,0.502,0.634,0,False
2910750,Fátima,BA,Nordeste,121.0,0.967,0.496,0.479,0.647,0.559,0.452,0,False
4309407,Guaporé,RS,Sul,266.0,0.902,0.496,0.447,0.485,0.765,0.178,1,False
2709400,Viçosa,AL,Nordeste,264.0,0.962,0.496,0.477,0.527,0.586,0.492,0,False
5106828,Porto Esperidião,MT,Centro-Oeste,160.0,0.881,0.496,0.438,0.459,0.652,0.301,1,False
4313656,Palmares do Sul,RS,Sul,191.0,0.791,0.497,0.393,0.523,0.715,0.273,1,True
2702801,Flexeiras,AL,Nordeste,168.0,0.935,0.497,0.464,0.549,0.527,0.579,0,False
1508001,Tomé-Açu,PA,Norte,1252.0,0.883,0.497,0.438,0.604,0.586,0.46,0,False
2110708,São Domingos do Maranhão,MA,Nordeste,382.0,0.911,0.497,0.453,0.479,0.582,0.538,0,False
5218003,Porangatu,GO,Centro-Oeste,381.0,0.94,0.497,0.467,0.358,0.727,0.258,1,False
4318903,São Luiz Gonzaga,RS,Sul,399.0,0.922,0.497,0.459,0.489,0.741,0.254,1,False
1506302,Salvaterra,PA,Norte,225.0,0.849,0.497,0.422,0.587,0.608,0.509,0,False
2906907,Caravelas,BA,Nordeste,244.0,0.922,0.498,0.459,0.65,0.616,0.53,0,False
3300803,Cachoeiras de Macacu,RJ,Sudeste,602.0,0.787,0.498,0.392,0.553,0.7,0.318,1,True
1504422,Marituba,PA,Norte,1880.0,0.783,0.499,0.391,0.601,0.676,0.47,1,True
3518800,Guarulhos,SP,Sudeste,15374.0,0.854,0.5,0.427,0.53,0.763,0.318,1,False
1718501,Recursolândia,TO,Norte,53.0,0.906,0.5,0.453,0.705,0.5,0.508,0,False
4114708,Maria Helena,PR,Sul,63.0,0.889,0.5,0.444,0.286,0.703,0.33,1,False
